release_year,budget_adj
2012,28492328
2012,28492328
2012,28492328
2012,28492328
2012,28492328
2012,28492328
2012,28492328
2012,28492328
2008,28358026
2006,28123398
2006,28123398
2006,28123398
2011,28112543
2013,28081001
2013,28081001
2013,28081001
2013,28081001
2013,28081001
2013,28081001
2013,28081001
2013,28081001
2010,28000000
2010,28000000
2014,27632732
2014,27632732
2014,27632732
2014,27632732
2014,27632732
2015,27599988
2015,27599988
2015,27599988
2015,27599988
2015,27599988
2015,27599988
2015,27599988
2009,27442812
2008,27345239
2008,27345239
2008,27345239
2007,27343383
2011,27143145
2011,27143145
2006,27041729
2006,27041729
2006,27041729
2006,27041729
2006,27041729
2006,27041729
2010,27000000
2015,26679988
2009,26426411
2009,26426411
2009,26426411
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2007,26291715
2013,26208934
2013,26208934
2013,26208934
2013,26208934
2013,26208934
2011,26173747
2011,26173747
2010,26000000
2006,25960060
2006,25960060
2006,25960060
2014,25790549
2014,25790549
2014,25790549
2014,25790549
2015,25759989
2015,25759989
2015,25759989
2015,25759989
2013,25478828
2008,25420945
2009,25410011
2009,25410011
2009,25410011
2009,25410011
2009,25410011
2009,25410011
2009,25410011
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2008,25319666
2013,25272901
2007,25240046
2007,25240046
2012,25025762
2010,25000000
2010,25000000
2010,25000000
2010,25000000
2010,25000000
2010,25000000
2010,25000000
2006,24878391
2014,24869458
2015,24839989
2012,24693351
2012,24693351
2009,24393610
2013,24336867
2008,24306879
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2011,24234951
2007,24188377
2007,24188377
2010,24000000
2010,24000000
2009,23987050
2014,23948367
2015,23919989
2015,23919989
2013,23868850
2006,23796721
2012,23743607
2012,23743607
2012,23743607
2012,23743607
2012,23743607
2012,23743607
2013,23400834
2013,23400834
2013,23400834
2013,23400834
2013,23400834
2013,23400834
2009,23377210
2008,23294093
2011,23265553
2011,23265553
2007,23136709
2007,23136709
2007,23136709
2014,23027276
2014,23027276
2014,23027276
2014,23027276
2014,23027276
2014,23027276
2015,22999990
2015,22999990
2015,22999990
2015,22999990
2015,22999990
2006,22715052
2006,22715052
2009,22360810
2009,22360810
2008,22281306
2008,22281306
2014,22106185
2014,22106185
2007,22085040
2007,22085040
2010,22000000
2010,22000000
2010,22000000
2010,22000000
2010,22000000
2012,21844118
2010,21800000
2006,21633383
2006,21633383
2006,21633383
2006,21633383
2006,21633383
2006,21633383
2006,21633383
2006,21633383
2006,21633383
2013,21528767
2013,21528767
2009,21344409
2008,21268519
2008,21268519
2008,21268519
2015,21159991
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2007,21033372
2010,21000000
2006,20984382
2012,20894374
2008,20762126
2014,20724549
2013,20592734
2013,20592734
2013,20592734
2006,20551714
2011,20357359
2011,20357359
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2009,20328009
2014,20264003
2014,20264003
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2008,20255733
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2010,20000000
2007,19981703
2007,19981703
2012,19944630
2006,19470045
2006,19470045
2006,19470045
2012,19469758
2011,19387961
2011,19387961
2011,19387961
2011,19387961
2011,19387961
2011,19387961
2011,19387961
2011,19387961
2014,19342912
2015,19319992
2009,19311608
2008,19242946
2008,19242946
2010,19000000
2010,19000000
2012,18994886
2012,18994886
2012,18994886
2012,18994886
2012,18994886
2012,18994886
2012,18994886
2007,18930034
2007,18930034
2006,18929210
2009,18803408
2013,18720667
2013,18720667
2013,18720667
2013,18720667
2013,18720667
2013,18720667
2013,18720667
2013,18720667
2012,18520013
2011,18515503
2014,18421821
2014,18421821
2014,18421821
2014,18421821
2014,18421821
2014,18421821
2014,18421821
2011,18418563
2011,18418563
2015,18399992
2015,18399992
2015,18399992
2015,18399992
2015,18399992
2015,18399992
2015,18399992
2015,18399992
2015,18399992
2006,18388376
2006,18388376
2006,18388376
2009,18295208
2009,18295208
2009,18295208
2014,18237603
2008,18230159
2008,18230159
2008,18230159
2006,18172042
2010,18000000
2010,18000000
2015,17939992
2007,17878366
2011,17449165
2007,17352532
2007,17352532
2006,17306707
2012,17285346
2009,17278807
2009,17278807
2009,17278807
2013,16848600
2013,16848600
2013,16848600
2013,16848600
2013,16848600
2007,16826697
2007,16826697
2007,16826697
2007,16826697
2007,16826697
2007,16826697
2006,16765872
2006,16765872
2014,16579639
2014,16579639
2014,16579639
2014,16579639
2014,16579639
2015,16559993
2011,16479767
2011,16479767
2011,16479767
2011,16479767
2011,16479767
2013,16380584
2009,16262407
2009,16262407
2009,16262407
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2006,16225037
2008,16204586
2012,16145653
2012,16145653
2012,16145653
2012,16145653
2012,16145653
2013,15912567
2013,15912567
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2007,15775029
2012,15765755
2006,15684203
2014,15658548
2014,15658548
2014,15658548
2015,15639993
2008,15596914
2011,15510369
2011,15292204
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2009,15246007
2012,15195909
2012,15195909
2012,15195909
